"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C02857V03435","Type of Procedure","C02076V02508","Age Group","UNIT","VALUE"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0600","Dental services","415","25 - 34 years","Number","70"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0600","Dental services","465","35 - 44 years","Number","183"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0600","Dental services","500","45 - 54 years","Number","225"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0600","Dental services","535","55 - 64 years","Number","200"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0600","Dental services","570","65 - 74 years","Number","200"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0600","Dental services","600","75 - 84 years","Number","224"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0600","Dental services","630","85 years and over","Number","118"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0600","Dental services","-","All ages","Number","1717"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0700","Procedures on respiratory system","215","0 - 14 years","Number","59305"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0700","Procedures on respiratory system","310","15 - 24 years","Number","6139"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0700","Procedures on respiratory system","415","25 - 34 years","Number","7384"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0700","Procedures on respiratory system","465","35 - 44 years","Number","12090"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0700","Procedures on respiratory system","500","45 - 54 years","Number","19936"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0700","Procedures on respiratory system","535","55 - 64 years","Number","36170"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0700","Procedures on respiratory system","570","65 - 74 years","Number","53621"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0700","Procedures on respiratory system","600","75 - 84 years","Number","41743"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0700","Procedures on respiratory system","630","85 years and over","Number","13800"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0700","Procedures on respiratory system","-","All ages","Number","250188"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0701","Diagnostic bronchoscopy with or without biopsy","215","0 - 14 years","Number","2700"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0701","Diagnostic bronchoscopy with or without biopsy","310","15 - 24 years","Number","289"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0701","Diagnostic bronchoscopy with or without biopsy","415","25 - 34 years","Number","639"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0701","Diagnostic bronchoscopy with or without biopsy","465","35 - 44 years","Number","948"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0701","Diagnostic bronchoscopy with or without biopsy","500","45 - 54 years","Number","2702"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0701","Diagnostic bronchoscopy with or without biopsy","535","55 - 64 years","Number","3781"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0701","Diagnostic bronchoscopy with or without biopsy","570","65 - 74 years","Number","6907"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0701","Diagnostic bronchoscopy with or without biopsy","600","75 - 84 years","Number","4217"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0701","Diagnostic bronchoscopy with or without biopsy","630","85 years and over","Number","1092"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0701","Diagnostic bronchoscopy with or without biopsy","-","All ages","Number","23275"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0702","Pneumonectomy (Pulmectomy)","215","0 - 14 years","Number","88"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0702","Pneumonectomy (Pulmectomy)","310","15 - 24 years","Number","66"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0702","Pneumonectomy (Pulmectomy)","415","25 - 34 years","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0702","Pneumonectomy (Pulmectomy)","465","35 - 44 years","Number","186"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0702","Pneumonectomy (Pulmectomy)","500","45 - 54 years","Number","411"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0702","Pneumonectomy (Pulmectomy)","535","55 - 64 years","Number","1580"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0702","Pneumonectomy (Pulmectomy)","570","65 - 74 years","Number","2549"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0702","Pneumonectomy (Pulmectomy)","600","75 - 84 years","Number","1521"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0702","Pneumonectomy (Pulmectomy)","630","85 years and over","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0702","Pneumonectomy (Pulmectomy)","-","All ages","Number","6529"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0703","Lung transplantation","215","0 - 14 years","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0703","Lung transplantation","310","15 - 24 years","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0703","Lung transplantation","415","25 - 34 years","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0703","Lung transplantation","465","35 - 44 years","Number","107"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0703","Lung transplantation","500","45 - 54 years","Number","110"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0703","Lung transplantation","535","55 - 64 years","Number","465"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0703","Lung transplantation","570","65 - 74 years","Number","368"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0703","Lung transplantation","600","75 - 84 years","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0703","Lung transplantation","630","85 years and over","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0703","Lung transplantation","-","All ages","Number","1179"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0800","Procedures on cardiovascular system","215","0 - 14 years","Number","11028"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0800","Procedures on cardiovascular system","310","15 - 24 years","Number","1896"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0800","Procedures on cardiovascular system","415","25 - 34 years","Number","2309"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0800","Procedures on cardiovascular system","465","35 - 44 years","Number","6450"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0800","Procedures on cardiovascular system","500","45 - 54 years","Number","14100"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0800","Procedures on cardiovascular system","535","55 - 64 years","Number","28576"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0800","Procedures on cardiovascular system","570","65 - 74 years","Number","40717"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0800","Procedures on cardiovascular system","600","75 - 84 years","Number","33520"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0800","Procedures on cardiovascular system","630","85 years and over","Number","9272"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0800","Procedures on cardiovascular system","-","All ages","Number","147868"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0801","Pacemaker procedures","215","0 - 14 years","Number",""
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0801","Pacemaker procedures","310","15 - 24 years","Number","23"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0801","Pacemaker procedures","415","25 - 34 years","Number","44"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0801","Pacemaker procedures","465","35 - 44 years","Number","81"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0801","Pacemaker procedures","500","45 - 54 years","Number","311"
